conf_name,market,school_city,first_name,last_name,birthplace_city,birthplace_state,birthplace_country,FGM,Steals,Three_PTM,FTM,Blocks,Offensive_Reb,Assists,Defensive_Reb,Fouls,FT_Miss,FG_Miss,Turnovers,Minutes,team_games_played_2017,games_played_on_team,attendance,avg_mins_per_game
Southeastern,Texas A&M,"College Station, TX, USA",ADMON,GILDER,Dallas,TX, USA,127,37,47,69,5,19,77,105,64,15,150,51,959,35,30,0.86,27.4
Mid-American,Kent State,"Kent, OH, USA",ADONIS,DE LA ROSA,Bronx,NY, USA,137,21,0,128,22,101,35,156,117,35,105,112,874,34,34,1,25.71
Ohio Valley,Morehead State,"Morehead, KY, USA",ADRIAN,HICKS,Norcross,GA, USA,98,51,25,99,8,24,122,63,55,56,133,84,885,29,29,1,30.52
Big Sky,Montana,"Missoula, MT, USA",AHMAAD,RORIE,Tacoma,WA, USA,206,42,59,113,5,32,125,101,46,20,282,67,1218,34,34,1,35.82
Conference USA,Old Dominion,"Norfolk, VA, USA",AHMAD,CAVER,Atlanta,GA, USA,155,73,65,78,5,19,197,94,41,39,225,65,1189,32,32,1,37.16
Mid Eastern Athletic,Maryland-Eastern Shore,"Princess Anne, MD, USA",AHMAD,FROST,Cincinnati,OH, USA,124,41,60,38,0,23,76,73,77,19,219,71,1069,32,32,1,33.41
Big South,UNC Asheville,"Asheville, NC, USA",AHMAD,THOMAS,Danville,VA, USA,220,62,17,71,11,50,91,136,82,36,218,77,1028,34,32,0.94,30.24
Atlantic Coast,Virginia Tech,"Blacksburg, VA, USA",AHMED,HILL,Augusta,GA, USA,128,12,64,31,2,18,30,80,45,11,133,27,832,33,33,1,25.21
Metro Atlantic Athletic,Siena,"Albany, NY, USA",AHSANTE,SHIVERS,Seat Pleasant,MD, USA,88,18,23,65,6,37,42,88,46,25,145,64,796,32,32,1,24.88
Ivy,Pennsylvania,"Philadelphia, PA, USA",AJ,BRODEUR,Northborough,MA, USA,179,29,20,55,40,59,84,179,78,35,156,80,1024,33,33,1,31.03
Big West,UC Davis,"Davis, CA, USA",AJ,JOHN,Santa Rosa,CA, USA,94,9,45,28,15,40,14,91,83,8,103,28,691,33,33,1,20.94
Sun Belt,Coastal Carolina,"Conway, SC, USA",AJAY,SANDERS,Greenville,NC, USA,53,11,35,13,5,24,39,89,52,5,108,44,751,32,32,1,23.47
Conference USA,Marshall,"Huntington, WV, USA",AJDIN,PENAVA,Sarajevo,, BIH,191,33,33,116,128,67,66,220,106,38,149,67,1001,36,34,0.94,27.81
Mid Eastern Athletic,Hampton,"Hampton, VA, USA",AKIM,MITCHELL,Charlotte,NC, USA,96,22,14,61,2,58,51,93,68,14,94,38,906,35,34,0.97,25.89
Conference USA,Rice,"Houston, TX, USA",AKO,ADAMS,Washington,DC, USA,99,24,54,76,1,10,99,72,63,18,173,82,921,31,31,1,29.71
America East,Stony Brook,"Stony Brook, NY, USA",AKWASI,YEBOAH,Chigwell,, GBR,155,28,59,118,7,29,44,132,68,29,189,74,913,32,32,1,28.53
Mountain West,Wyoming,"Laramie, WY, USA",ALAN,HERNDON,Colorado Springs,CO, USA,145,27,45,56,72,30,66,157,69,36,138,44,1054,33,33,1,31.94
Mid Eastern Athletic,Savannah State,"Savannah, GA, USA",ALANTE,FENNER,Lake Wales,FL, USA,141,46,47,106,0,35,73,109,42,33,213,66,820,32,31,0.97,25.63
Summit League,Oral Roberts,"Tulsa, OK, USA",ALBERT,OWENS,Cedar Hill,TX, USA,149,14,1,59,49,57,21,73,37,26,158,41,763,32,31,0.97,23.84
Big Ten,Wisconsin,"Madison, WI, USA",ALEEM,FORD,Lawrenceville,GA, USA,60,11,45,27,6,20,30,71,64,6,90,25,805,33,33,1,24.39
Western Athletic,UMKC,"Kansas City, MO, USA",ALEER,LEEK,Juba,, SSD,53,11,12,37,31,30,5,97,77,12,101,48,717,32,32,1,22.41
Metro Atlantic Athletic,Marist,"Poughkeepsie, NY, USA",ALEKSANDAR,DOZIC,Podgorica,, MNE,77,8,36,22,6,21,52,104,55,10,117,50,670,31,29,0.94,21.61
Western Athletic,Grand Canyon,"Phoenix, AZ, USA",ALESSANDRO,LEVER,Bolzano,, ITA,140,12,26,108,14,42,40,107,78,33,169,59,725,34,34,1,21.32
